[문제 1]
학번: 20401102, 결과: Accept, 점수: 100.0
학번: 20401564, 결과: Accept, 점수: 100.0
학번: 20402135, 결과: Accept, 점수: 100.0
학번: 20403198, 결과: Accept, 점수: 100.0
학번: 20401054, 결과: Accept, 점수: 100.0
학번: 20402241, 결과: Accept, 점수: 100.0
학번: 20401789, 결과: Accept, 점수: 100.0
학번: 20402540, 결과: Accept, 점수: 100.0
학번: 20403312, 결과: Accept, 점수: 100.0
학번: 20401423, 결과: Accept, 점수: 100.0
학번: 20402987, 결과: Accept, 점수: 100.0
학번: 20401156, 결과: Accept, 점수: 100.0
학번: 20402031, 결과: Accept, 점수: 100.0
학번: 20403055, 결과: Accept, 점수: 100.0
학번: 20401674, 결과: Accept, 점수: 100.0
학번: 20402841, 결과: Accept, 점수: 100.0
학번: 20403412, 결과: Accept, 점수: 100.0
학번: 20401952, 결과: Accept, 점수: 100.0
학번: 20402410, 결과: Accept, 점수: 100.0
학번: 20401311, 결과: Accept, 점수: 100.0
학번: 20402773, 결과: Accept, 점수: 100.0
학번: 20403561, 결과: Accept, 점수: 100.0
학번: 20401844, 결과: Accept, 점수: 100.0
학번: 20402652, 결과: Accept, 점수: 100.0
학번: 20403210, 결과: Accept, 점수: 100.0
학번: 20401219, 결과: Accept, 점수: 100.0
학번: 20402099, 결과: Accept, 점수: 100.0
학번: 20403104, 결과: Accept, 점수: 100.0
학번: 20401488, 결과: Accept, 점수: 100.0
학번: 20402367, 결과: Wrong Answer, 점수: 75.0

[문제 2]
학번: 20401102, 결과: Accept, 점수: 100.0
학번: 20401564, 결과: Accept, 점수: 100.0
학번: 20402135, 결과: Accept, 점수: 100.0
학번: 20403198, 결과: Accept, 점수: 100.0
학번: 20401054, 결과: Accept, 점수: 100.0
학번: 20402241, 결과: Accept, 점수: 100.0
학번: 20401789, 결과: Accept, 점수: 100.0
학번: 20402540, 결과: Accept, 점수: 100.0
학번: 20403312, 결과: Accept, 점수: 100.0
학번: 20401423, 결과: Accept, 점수: 100.0
학번: 20402987, 결과: Accept, 점수: 100.0
학번: 20401156, 결과: Accept, 점수: 100.0
학번: 20402031, 결과: Accept, 점수: 100.0
학번: 20403055, 결과: Accept, 점수: 100.0
학번: 20401674, 결과: Accept, 점수: 100.0
학번: 20402841, 결과: Accept, 점수: 100.0
학번: 20403412, 결과: Accept, 점수: 100.0
학번: 20401952, 결과: Accept, 점수: 100.0
학번: 20402410, 결과: Accept, 점수: 100.0
학번: 20401311, 결과: Accept, 점수: 100.0
학번: 20402773, 결과: Wrong Answer, 점수: 75.0
학번: 20403561, 결과: Wrong Answer, 점수: 75.0
학번: 20401844, 결과: Wrong Answer, 점수: 0.0
학번: 20402652, 결과: Wrong Answer, 점수: 0.0
학번: 20403210, 결과: Wrong Answer, 점수: 0.0
학번: 20401219, 결과: Wrong Answer, 점수: 0.0
학번: 20402099, 결과: Run-Time Error, 점수: 0.0
학번: 20403104, 결과: Accept, 점수: 100.0
학번: 20401488, 결과: Accept, 점수: 100.0
학번: 20402367, 결과: Accept, 점수: 100.0

[문제 3]
학번: 20401102, 결과: Accept, 점수: 100.0
학번: 20401564, 결과: Accept, 점수: 100.0
학번: 20402135, 결과: Accept, 점수: 100.0
학번: 20403198, 결과: Accept, 점수: 100.0
학번: 20401054, 결과: Accept, 점수: 100.0
학번: 20402241, 결과: Accept, 점수: 100.0
학번: 20401789, 결과: Accept, 점수: 100.0
학번: 20402540, 결과: Accept, 점수: 100.0
학번: 20403312, 결과: Accept, 점수: 100.0
학번: 20401423, 결과: Accept, 점수: 100.0
학번: 20402987, 결과: Accept, 점수: 100.0
학번: 20401156, 결과: Accept, 점수: 100.0
학번: 20402031, 결과: Wrong Answer, 점수: 33.3
학번: 20403055, 결과: Wrong Answer, 점수: 33.3
학번: 20401674, 결과: Wrong Answer, 점수: 33.3
학번: 20402841, 결과: Wrong Answer, 점수: 33.3
학번: 20403412, 결과: Output Limit, 점수: 0.0
학번: 20401952, 결과: Wrong Answer, 점수: 0.0
학번: 20402410, 결과: Output Limit, 점수: 0.0
학번: 20401311, 결과: Wrong Answer, 점수: 0.0
학번: 20402773, 결과: Wrong Answer, 점수: 0.0
학번: 20403561, 결과: Accept, 점수: 100.0
학번: 20401844, 결과: Accept, 점수: 100.0
학번: 20402652, 결과: Accept, 점수: 100.0
학번: 20403210, 결과: Accept, 점수: 100.0
학번: 20401219, 결과: Accept, 점수: 100.0
학번: 20402099, 결과: Accept, 점수: 100.0
학번: 20403104, 결과: Accept, 점수: 100.0
학번: 20401488, 결과: Accept, 점수: 100.0
학번: 20402367, 결과: Accept, 점수: 100.0

[문제 4]
학번: 20401102, 결과: Accept, 점수: 100.0
학번: 20401564, 결과: Accept, 점수: 100.0
학번: 20402135, 결과: Accept, 점수: 100.0
학번: 20403198, 결과: Accept, 점수: 100.0
학번: 20401054, 결과: Accept, 점수: 100.0
학번: 20402241, 결과: Accept, 점수: 100.0
학번: 20401789, 결과: Accept, 점수: 100.0
학번: 20402540, 결과: Accept, 점수: 100.0
학번: 20403312, 결과: Accept, 점수: 100.0
학번: 20401423, 결과: Accept, 점수: 100.0
학번: 20402987, 결과: Accept, 점수: 100.0
학번: 20401156, 결과: Accept, 점수: 100.0
학번: 20402031, 결과: Accept, 점수: 100.0
학번: 20403055, 결과: Accept, 점수: 100.0
학번: 20401674, 결과: Accept, 점수: 100.0
학번: 20402841, 결과: Accept, 점수: 100.0
학번: 20403412, 결과: Accept, 점수: 100.0
학번: 20401952, 결과: Accept, 점수: 100.0
학번: 20402410, 결과: Accept, 점수: 100.0
학번: 20401311, 결과: Accept, 점수: 100.0
학번: 20402773, 결과: Accept, 점수: 100.0
학번: 20403561, 결과: Accept, 점수: 100.0
학번: 20401844, 결과: Wrong Answer, 점수: 0.0
학번: 20402652, 결과: Wrong Answer, 점수: 0.0
학번: 20403210, 결과: Wrong Answer, 점수: 0.0
학번: 20401219, 결과: Wrong Answer, 점수: 0.0
학번: 20402099, 결과: Accept, 점수: 100.0
학번: 20403104, 결과: Accept, 점수: 100.0
학번: 20401488, 결과: Accept, 점수: 100.0
학번: 20402367, 결과: Accept, 점수: 100.0

[문제 5]
학번: 20401102, 결과: Accept, 점수: 100.0
학번: 20401564, 결과: Accept, 점수: 100.0
학번: 20402135, 결과: Accept, 점수: 100.0
학번: 20403198, 결과: Accept, 점수: 100.0
학번: 20401054, 결과: Accept, 점수: 100.0
학번: 20402241, 결과: Accept, 점수: 100.0
학번: 20401789, 결과: Accept, 점수: 100.0
학번: 20402540, 결과: Accept, 점수: 100.0
학번: 20403312, 결과: Accept, 점수: 100.0
학번: 20401423, 결과: Accept, 점수: 100.0
학번: 20402987, 결과: Accept, 점수: 100.0
학번: 20401156, 결과: Accept, 점수: 100.0
학번: 20402031, 결과: Accept, 점수: 100.0
학번: 20403055, 결과: Accept, 점수: 100.0
학번: 20401674, 결과: Accept, 점수: 100.0
학번: 20402841, 결과: Accept, 점수: 100.0
학번: 20403412, 결과: Accept, 점수: 100.0
학번: 20401952, 결과: Accept, 점수: 100.0
학번: 20402410, 결과: Accept, 점수: 100.0
학번: 20401311, 결과: Accept, 점수: 100.0
학번: 20402773, 결과: Accept, 점수: 100.0
학번: 20403561, 결과: Accept, 점수: 100.0
학번: 20401844, 결과: Wrong Answer, 점수: 0.0
학번: 20402652, 결과: Wrong Answer, 점수: 0.0
학번: 20403210, 결과: Run-Time Error, 점수: 0.0
학번: 20401219, 결과: Accept, 점수: 100.0
학번: 20402099, 결과: Accept, 점수: 100.0
학번: 20403104, 결과: Accept, 점수: 100.0
학번: 20401488, 결과: Accept, 점수: 100.0
학번: 20402367, 결과: Accept, 점수: 100.0

[문제 6]
학번: 20401102, 결과: Accept, 점수: 100.0
학번: 20401564, 결과: Accept, 점수: 100.0
학번: 20402135, 결과: Accept, 점수: 100.0
학번: 20403198, 결과: Accept, 점수: 100.0
학번: 20401054, 결과: Accept, 점수: 100.0
학번: 20402241, 결과: Accept, 점수: 100.0
학번: 20401789, 결과: Accept, 점수: 100.0
학번: 20402540, 결과: Accept, 점수: 100.0
학번: 20403312, 결과: Wrong Answer, 점수: 75.0
