[문제 1]
아이디: 20401102, 결과: Accept, 점수: 100.0
아이디: 20401564, 결과: Accept, 점수: 100.0
아이디: 20402135, 결과: Accept, 점수: 100.0
아이디: 20403198, 결과: Accept, 점수: 100.0
아이디: 20401054, 결과: Accept, 점수: 100.0
아이디: 20402241, 결과: Accept, 점수: 100.0
아이디: 20401789, 결과: Accept, 점수: 100.0
아이디: 20402540, 결과: Accept, 점수: 100.0
아이디: 20403312, 결과: Accept, 점수: 100.0
아이디: 20401423, 결과: Accept, 점수: 100.0
아이디: 20402987, 결과: Accept, 점수: 100.0
아이디: 20401156, 결과: Accept, 점수: 100.0
아이디: 20402031, 결과: Accept, 점수: 100.0
아이디: 20403055, 결과: Accept, 점수: 100.0
아이디: 20401674, 결과: Accept, 점수: 100.0
아이디: 20402841, 결과: Accept, 점수: 100.0
아이디: 20403412, 결과: Accept, 점수: 100.0
아이디: 20401952, 결과: Accept, 점수: 100.0
아이디: 20402410, 결과: Accept, 점수: 100.0
아이디: 20401311, 결과: Accept, 점수: 100.0
아이디: 20402773, 결과: Accept, 점수: 100.0
아이디: 20403561, 결과: Accept, 점수: 100.0
아이디: 20401844, 결과: Accept, 점수: 100.0
아이디: 20402652, 결과: Accept, 점수: 100.0
아이디: 20403210, 결과: Accept, 점수: 100.0
아이디: 20401219, 결과: Accept, 점수: 100.0
아이디: 20402099, 결과: Accept, 점수: 100.0
아이디: 20403104, 결과: Accept, 점수: 100.0
아이디: 20401488, 결과: Wrong Answer, 점수: 50.0
아이디: 20402367, 결과: Run-Time Error, 점수: 0.0

[문제 2]
아이디: 20401102, 결과: Accept, 점수: 100.0
아이디: 20401564, 결과: Accept, 점수: 100.0
아이디: 20402135, 결과: Accept, 점수: 100.0
아이디: 20403198, 결과: Wrong Answer, 점수: 75.0
아이디: 20401054, 결과: Accept, 점수: 100.0
아이디: 20402241, 결과: Accept, 점수: 100.0
아이디: 20401789, 결과: Accept, 점수: 100.0
아이디: 20402540, 결과: Accept, 점수: 100.0
아이디: 20403312, 결과: Wrong Answer, 점수: 25.0
아이디: 20401423, 결과: Accept, 점수: 100.0
아이디: 20402987, 결과: Accept, 점수: 100.0
아이디: 20401156, 결과: Accept, 점수: 100.0
아이디: 20402031, 결과: Accept, 점수: 100.0
아이디: 20403055, 결과: Accept, 점수: 100.0
아이디: 20401674, 결과: Accept, 점수: 100.0
아이디: 20402841, 결과: Accept, 점수: 100.0
아이디: 20403412, 결과: Run-Time Error, 점수: 0.0
아이디: 20401952, 결과: Accept, 점수: 100.0
아이디: 20402410, 결과: Accept, 점수: 100.0
아이디: 20401311, 결과: Accept, 점수: 100.0
아이디: 20402773, 결과: Accept, 점수: 100.0
아이디: 20403561, 결과: Accept, 점수: 100.0
아이디: 20401844, 결과: Accept, 점수: 100.0
아이디: 20402652, 결과: Accept, 점수: 100.0
아이디: 20403210, 결과: Accept, 점수: 100.0
아이디: 20401219, 결과: Accept, 점수: 100.0
아이디: 20402099, 결과: Accept, 점수: 100.0
아이디: 20403104, 결과: Accept, 점수: 100.0
아이디: 20401488, 결과: Accept, 점수: 100.0
아이디: 20402367, 결과: Accept, 점수: 100.0

[문제 3]
아이디: 20401102, 결과: Accept, 점수: 100.0
아이디: 20401564, 결과: Accept, 점수: 100.0
아이디: 20402135, 결과: Accept, 점수: 100.0
아이디: 20403198, 결과: Accept, 점수: 100.0
아이디: 20401054, 결과: Wrong Answer, 점수: 33.3
아이디: 20402241, 결과: Accept, 점수: 100.0
아이디: 20401789, 결과: Accept, 점수: 100.0
아이디: 20402540, 결과: Accept, 점수: 100.0
아이디: 20403312, 결과: Accept, 점수: 100.0
아이디: 20401423, 결과: Wrong Answer, 점수: 33.3
아이디: 20402987, 결과: Accept, 점수: 100.0
아이디: 20401156, 결과: Output Limit, 점수: 0.0
아이디: 20402031, 결과: Accept, 점수: 100.0
아이디: 20403055, 결과: Accept, 점수: 100.0
아이디: 20401674, 결과: Accept, 점수: 100.0
아이디: 20402841, 결과: Wrong Answer, 점수: 66.6
아이디: 20403412, 결과: Accept, 점수: 100.0
아이디: 20401952, 결과: Accept, 점수: 100.0
아이디: 20402410, 결과: Accept, 점수: 100.0
아이디: 20401311, 결과: Accept, 점수: 100.0
아이디: 20402773, 결과: Accept, 점수: 100.0
아이디: 20403561, 결과: Accept, 점수: 100.0
아이디: 20401844, 결과: Accept, 점수: 100.0
아이디: 20402652, 결과: Accept, 점수: 100.0
아이디: 20403210, 결과: Accept, 점수: 100.0
아이디: 20401219, 결과: Accept, 점수: 100.0
아이디: 20402099, 결과: Accept, 점수: 100.0
아이디: 20403104, 결과: Accept, 점수: 100.0
아이디: 20401488, 결과: Accept, 점수: 100.0
아이디: 20402367, 결과: Accept, 점수: 100.0

[문제 4]
아이디: 20401102, 결과: Accept, 점수: 100.0
아이디: 20401564, 결과: Accept, 점수: 100.0
아이디: 20402135, 결과: Accept, 점수: 100.0
아이디: 20403198, 결과: Accept, 점수: 100.0
아이디: 20401054, 결과: Accept, 점수: 100.0
아이디: 20402241, 결과: Accept, 점수: 100.0
아이디: 20401789, 결과: Accept, 점수: 100.0
아이디: 20402540, 결과: Accept, 점수: 100.0
아이디: 20403312, 결과: Accept, 점수: 100.0
아이디: 20401423, 결과: Accept, 점수: 100.0
아이디: 20402987, 결과: Accept, 점수: 100.0
아이디: 20401156, 결과: Accept, 점수: 100.0
아이디: 20402031, 결과: Accept, 점수: 100.0
아이디: 20403055, 결과: Accept, 점수: 100.0
아이디: 20401674, 결과: Accept, 점수: 100.0
아이디: 20402841, 결과: Accept, 점수: 100.0
아이디: 20403412, 결과: Accept, 점수: 100.0
아이디: 20401952, 결과: Wrong Answer, 점수: 0.0
아이디: 20402410, 결과: Wrong Answer, 점수: 0.0
아이디: 20401311, 결과: Accept, 점수: 100.0
아이디: 20402773, 결과: Accept, 점수: 100.0
아이디: 20403561, 결과: Accept, 점수: 100.0
아이디: 20401844, 결과: Accept, 점수: 100.0
아이디: 20402652, 결과: Accept, 점수: 100.0
아이디: 20403210, 결과: Accept, 점수: 100.0
아이디: 20401219, 결과: Accept, 점수: 100.0
아이디: 20402099, 결과: Accept, 점수: 100.0
아이디: 20403104, 결과: Accept, 점수: 100.0
아이디: 20401488, 결과: Accept, 점수: 100.0
아이디: 20402367, 결과: Accept, 점수: 100.0

[문제 5]
아이디: 20401102, 결과: Accept, 점수: 100.0
아이디: 20401564, 결과: Accept, 점수: 100.0
아이디: 20402135, 결과: Accept, 점수: 100.0
아이디: 20403198, 결과: Accept, 점수: 100.0
아이디: 20401054, 결과: Accept, 점수: 100.0
아이디: 20402241, 결과: Accept, 점수: 100.0
아이디: 20401789, 결과: Accept, 점수: 100.0
아이디: 20402540, 결과: Accept, 점수: 100.0
아이디: 20403312, 결과: Accept, 점수: 100.0
아이디: 20401423, 결과: Accept, 점수: 100.0
아이디: 20402987, 결과: Accept, 점수: 100.0
아이디: 20401156, 결과: Accept, 점수: 100.0
아이디: 20402031, 결과: Accept, 점수: 100.0
아이디: 20403055, 결과: Accept, 점수: 100.0
아이디: 20401674, 결과: Accept, 점수: 100.0
아이디: 20402841, 결과: Accept, 점수: 100.0
아이디: 20403412, 결과: Accept, 점수: 100.0
아이디: 20401952, 결과: Accept, 점수: 100.0
아이디: 20402410, 결과: Accept, 점수: 100.0
아이디: 20401311, 결과: Accept, 점수: 100.0
아이디: 20402773, 결과: Wrong Answer, 점수: 0.0
아이디: 20403561, 결과: Wrong Answer, 점수: 0.0
아이디: 20401844, 결과: Run-Time Error, 점수: 0.0
아이디: 20402652, 결과: Accept, 점수: 100.0
아이디: 20403210, 결과: Accept, 점수: 100.0
아이디: 20401219, 결과: Accept, 점수: 100.0
아이디: 20402099, 결과: Accept, 점수: 100.0
아이디: 20403104, 결과: Accept, 점수: 100.0
아이디: 20401488, 결과: Accept, 점수: 100.0
아이디: 20402367, 결과: Accept, 점수: 100.0

[문제 6]
아이디: 20401102, 결과: Accept, 점수: 100.0
아이디: 20401564, 결과: Accept, 점수: 100.0
아이디: 20402135, 결과: Accept, 점수: 100.0
아이디: 20403198, 결과: Accept, 점수: 100.0
아이디: 20401054, 결과: Accept, 점수: 100.0
아이디: 20402241, 결과: Accept, 점수: 100.0
아이디: 20401789, 결과: Accept, 점수: 100.0
아이디: 20402540, 결과: Accept, 점수: 100.0
아이디: 20403312, 결과: Wrong Answer, 점수: 75.0
아이디: 20401423, 결과: Wrong Answer, 점수: 0.0
아이디: 20402987, 결과: Wrong Answer, 점수: 0.0
아이디: 20401156, 결과: Wrong Answer, 점수: 0.0
아이디: 20402031, 결과: Wrong Answer, 점수: 0.0
아이디: 20403055, 결과: Accept, 점수: 100.0
아이디: 20401674, 결과: Accept, 점수: 100.0
아이디: 20402841, 결과: Accept, 점수: 100.0
아이디: 20403412, 결과: Accept, 점수: 100.0
아이디: 20401952, 결과: Accept, 점수: 100.0
아이디: 20402410, 결과: Accept, 점수: 100.0
아이디: 20401311, 결과: Accept, 점수: 100.0
아이디: 20402773, 결과: Accept, 점수: 100.0
아이디: 20403561, 결과: Accept, 점수: 100.0
아이디: 20401844, 결과: Accept, 점수: 100.0
아이디: 20402652, 결과: Accept, 점수: 100.0
아이디: 20403210, 결과: Accept, 점수: 100.0
아이디: 20401219, 결과: Accept, 점수: 100.0
아이디: 20402099, 결과: Accept, 점수: 100.0
아이디: 20403104, 결과: Accept, 점수: 100.0
아이디: 20401488, 결과: Accept, 점수: 100.0
아이디: 20402367, 결과: Accept, 점수: 100.0
